SKU,ASIN,Category,Product,Colours,Size,Fairtex MSRP in USD,MSRP per Fairtex in CAD
8859368926093-TS7-Black-S,B0B4HG6D15,Teeshirt,TS7,Black,Small,44.99,63.76
8859368926109-TS7-Black-M,B0B4HFZVGK,Teeshirt,TS7,Black,Medium,44.99,63.76
8859368926116-TS7-Black-L,B0B4HGLQTK,Teeshirt,TS7,Black,Large,44.99,63.76
8859368931080-TST51-Black/Blue-S,B0CFRFZYZX,Teeshirt,TST51,Black/Blue,Small,44.99,63.76
8859368931097-TST51-Black/Blue-M,B08S9596NX,Teeshirt,TST51,Black/Blue,Medium,44.99,63.76
8859368931103-TST51-Black/Blue-L,B08S9MDV4D,Teeshirt,TST51,Black/Blue,Large,44.99,63.76
8859368931110-TST51-Black/Blue-XL,B08RDBHHJS,Teeshirt,TST51,Black/Blue,XLarge,44.99,63.76
8859368946114-TS7-Black-XL,B0C9F1YV9H,Teeshirt,TS7,Black,Extra Large,44.99,63.76
8859368946206-TST51-White/Blue-S,B0B16CPQ4M,Teeshirt,TST51,White/Blue,Small,44.99,63.76
8859368947609-TST7-Black-S,B0C9DWCN4B,Teeshirt,TST7,Black,Small,44.99,63.76
8859368947616-TST7-Black-M,B0C9DXKB87,Teeshirt,TST7,Black,Medium,44.99,63.76
8859368947623-TST7-Black-L,B0C9DYZ55K,Teeshirt,TST7,Black,Large,44.99,63.76
8859368947630-TST7-Black-XL,B0BVYNFV7G,Teeshirt,TST7,Black,XLarge,44.99,63.76
8859368951569-JS10-White/Black-M,B0CKWDPK9R,Teeshirt,JS10,White/Black,Medium,44.99,63.76
8859368951576-JS10-White/Black-L,B0CKWHKCNL,Teeshirt,JS10,White/Black,Large,44.99,63.76
8859368951583-JS10-White/Black-XL,B0CKWDZRSK,Teeshirt,JS10,White/Black,XLarge,44.99,63.76
8859368962251-TST148-Black/Silver-S,B0B15QZ6V1,Teeshirt,TST148,Black/Silver,Small,44.99,63.76
8859368962558-TST148-Black/Light Green-S,B0B15MDXCJ,Teeshirt,TST148,Black/Light Green,Small,44.99,63.76
8859368964668-JS11-Black-S,B0CR1RDQY8,Teeshirt,JS11,Black,Small,44.99,63.76
8859368964675-JS11-Black-M,B0CKWFB5KM,Teeshirt,JS11,Black,Medium,44.99,63.76
8859368964682-JS11-Black-L,B0CKWGQRWX,Teeshirt,JS11,Black,Large,44.99,63.76
8859368964699-JS11-Black-XL,B0CKWHMXKZ,Teeshirt,JS11,Black,XLarge,44.99,63.76
8859368968536-TST163-Blue-M,B0B9B3YRCV,Teeshirt,TST163,Blue,Medium,44.99,63.76
8859368968543-TST163-Blue-L,B0B9B2DSHR,Teeshirt,TST163,Blue,Large,44.99,63.76
8859368968550-TST163-Blue-XL,B0B9B3KDF1,Teeshirt,TST163,Blue,XLarge,44.99,63.76
8859368968581-TST163-Gray-M,B0B9B21NWB,Teeshirt,TST163,Gray,Medium,44.99,63.76
8859368968598-TST163-Gray-L,B0B9B1NYNJ,Teeshirt,TST163,Gray,Large,44.99,63.76
8859368968604-TST163-Gray-XL,B0B9B2D3VS,Teeshirt,TST163,Gray,XLarge,44.99,63.76
8859368968628-TST163-Green Olive-S,B0B16FLJ2G,Teeshirt,TST163,Green Olive,Small,44.99,63.76
8859368968635-TST163-Green Olive-M,B0B15PXVYT,Teeshirt,TST163,Green Olive,Medium,44.99,63.76
8859368968642-TST163-Green Olive-L,B0B15NQMZJ,Teeshirt,TST163,Green Olive,Large,44.99,63.76
8859368968659-TST163-Green Olive-XL,B0B16DCCR9,Teeshirt,TST163,Green Olive,XLarge,44.99,63.76
8859368968789-TST164-White-S,B0CKWG12R5,Teeshirt,TST164,White,Small,44.99,63.76
8859368968796-TST164-White-M,B0CKWJSZGB,Teeshirt,TST164,White,Medium,44.99,63.76
8859368968802-TST164-White-L,B0CKWHXMQ3,Teeshirt,TST164,White,Large,44.99,63.76
8859368968819-TST164-White-XL,B0CKWHWQ5X,Teeshirt,TST164,White,XLarge,44.99,63.76
8859368969434-TST166-Black-S,B0CFFXWS9Q,Teeshirt,TST166,Black,Small,44.99,63.76
8859368969441-TST166-Black-M,B0CFFZXYN3,Teeshirt,TST166,Black,Medium,44.99,63.76
8859368969458-TST166-Black-L,B0CFFVH9JD,Teeshirt,TST166,Black,Large,44.99,63.76
8859368969465-TST166-Black-XL,B0CFFZV484,Teeshirt,TST166,Black,XLarge,44.99,63.76
8859368975145-TST149-White-S,B0B16MCNR6,Teeshirt,TST149,White,Small,44.99,63.76
8859368975152-TST149-White-M,B0B3V6N985,Teeshirt,TST149,White,Medium,44.99,63.76
8859368975169-TST149-White-L,B0B1668H68,Teeshirt,TST149,White,Large,44.99,63.76
8859368975176-TST149-Black-S,B0B3V7SPPZ,Teeshirt,TST149,Black,Small,44.99,63.76
8859368975183-TST149-Black-M,B0B3V7MPZJ,Teeshirt,TST149,Black,Medium,44.99,63.76
8859368975190-TST149-Black-L,B0B15RC3P9,Teeshirt,TST149,Black,Large,44.99,63.76
8859368980033-TST177-Black/Red-S,B0BVY5K1T2,Teeshirt,TST177,Black/Red,Small,44.99,63.76
8859368980040-TST177-Black/Red-M,B0B15RPFPV,Teeshirt,TST177,Black/Red,Medium,44.99,63.76
8859368980057-TST177-Black/Red-L,B0BVYS9P3L,Teeshirt,TST177,Black/Red,Large,44.99,63.76
8859368980064-TST177-Black/Red-XL,B0BVY5NWTH,Teeshirt,TST177,Black/Red,XLarge,44.99,63.76
8859368980088-TST177-Black/Gold-S,B0BVYDF13C,Teeshirt,TST177,Black/Gold,Small,44.99,63.76
8859368980095-TST177-Black/Gold-M,B0B16HHVDX,Teeshirt,TST177,Black/Gold,Medium,44.99,63.76
8859368980101-TST177-Black/Gold-L,B0BVY5G8RQ,Teeshirt,TST177,Black/Gold,Large,44.99,63.76
8859368980118-TST177-Black/Gold-XL,B0BVYD24D7,Teeshirt,TST177,Black/Gold,XLarge,44.99,63.76
8859368980125-TST177-Black/Gold-XXL,B0CKWGSL2L,Teeshirt,TST177,Black/Gold,XXLarge,44.99,63.76
8859368980132-TST177-White/Red-S,B0BVXXBZ1P,Teeshirt,TST177,White/Red,Small,44.99,63.76
8859368980149-TST177-White/Red-M,B0B169C4FV,Teeshirt,TST177,White/Red,Medium,44.99,63.76
8859368980156-TST177-White/Red-L,B0BVY47L52,Teeshirt,TST177,White/Red,Large,44.99,63.76
8859368980163-TST177-White/Red-XL,B0BVXQQGXR,Teeshirt,TST177,White/Red,XLarge,44.99,63.76
8859368980170-TST177-White/Red-XXL,B0CR4BD3BW,Teeshirt,TST177,White/Red,XXLarge,44.99,63.76
8859368981504-JS19-Maroon-S,B0BVYNVY7V,Teeshirt,JS19,Maroon,Small,44.99,63.76
8859368981511-JS19-Maroon-M,B0BVYV49GR,Teeshirt,JS19,Maroon,Medium,44.99,63.76
8859368981528-JS19-Maroon-L,B0B97B7KPR,Teeshirt,JS19,Maroon,Large,44.99,63.76
8859368981535-JS19-Maroon-XL,B0B9794WXN,Teeshirt,JS19,Maroon,XLarge,44.99,63.76
8859368981542-JS19-Maroon-XXL,B0CKWGGJN8,Teeshirt,JS19,Maroon,XXLarge,44.99,63.76
8859368981627-JS19-Blue-S,B0BVY32GYQ,Teeshirt,JS19,Blue,Small,44.99,63.76
8859368981634-JS19-Blue-M,B0B978VK2Z,Teeshirt,JS19,Blue,Medium,44.99,63.76
8859368981641-JS19-Blue-L,B0B979GMDK,Teeshirt,JS19,Blue,Large,44.99,63.76
8859368981658-JS19-Blue-XL,B0BVXYGH74,Teeshirt,JS19,Blue,XLarge,44.99,63.76
8859368981665-JS19-Blue-XXL,B0CKWFW5Z7,Teeshirt,JS19,Blue,XXLarge,44.99,63.76
8859368981740-JS19-Gray-S,B0B3W82CRT,Teeshirt,JS19,Gray,Small,44.99,63.76
8859368981757-JS19-Gray-M,B0B3W7S2QT,Teeshirt,JS19,Gray,Medium,44.99,63.76
8859368981764-JS19-Gray-L,B0B3W8CB57,Teeshirt,JS19,Gray,Large,44.99,63.76
8859368981771-JS19-Gray-XL,B0B3W7KSJV,Teeshirt,JS19,Gray,XLarge,44.99,63.76
8859368981788-JS19-Gray-XXL,B0CKWG6ZK8,Teeshirt,JS19,Gray,XXLarge,44.99,63.76
8859368983614-TST180-Black-S,B0BVYCHHNL,Teeshirt,TST180,Black,Small,44.99,63.76
8859368983621-TST180-Black-M,B0BVY2Y7K5,Teeshirt,TST180,Black,Medium,44.99,63.76
8859368983638-TST180-Black-L,B0BVY9TRVT,Teeshirt,TST180,Black,Large,44.99,63.76
8859368983645-TST180-Black-XL,B0BVYP3GRS,Teeshirt,TST180,Black,XLarge,44.99,63.76
8859368983652-TST180-Black-XXL,B0CR1QM7W1,Teeshirt,TST180,Black,XXLarge,44.99,63.76
8859368985700-JS11-Black-XXL,B0CKWFF9FL,Teeshirt,JS11,Black,XXLarge,44.99,63.76
8859368986899-TST190-Black Tiger-S,B0CFFYKHXG,Teeshirt,TST190,Black Tiger,Small,44.99,63.76
8859368986905-TST190-Black Tiger-M,B0CFG11XM6,Teeshirt,TST190,Black Tiger,Medium,44.99,63.76
8859368986912-TST190-Black Tiger-L,B0CFFYF814,Teeshirt,TST190,Black Tiger,Large,44.99,63.76
8859368986929-TST190-Black Tiger-XL,B0CFFZ3CND,Teeshirt,TST190,Black Tiger,XLarge,44.99,63.76
8859368989036-TST51-Black/Blue-XXL,B0CFG23W94,Teeshirt,TST51,Black/Blue,XXLarge,44.99,63.76
8859368997123-TST149-White-XL,B0B1VT2YXG,Teeshirt,TST149,White,XLarge,44.99,63.76
8859368999257-TST149-Black-XL,B0B4D415SQ,Teeshirt,TST149,Black,XLarge,44.99,63.76
8859368999431-TST149-Black-XXL,B0CR1RTVGG,Teeshirt,TST149,Black,XXLarge,44.99,63.76
8859368999455-TST149-White-XXL,B0CR1SPXZ8,Teeshirt,TST149,White,XXLarge,44.99,63.76
8859368999745-TST7-Black-XXL,B0CKWGCH94,Teeshirt,TST7,Black,XXLarge,44.99,63.76
8859368999882-TST164-White-XXL,B0CKWKQWQT,Teeshirt,TST164,White,XXLarge,44.99,63.76
8859368999943-TST166-Black-XXL,B0CFG131N9,Teeshirt,TST166,Black,XXLarge,44.99,63.76
8859368999974-TST190-Black Tiger-XXL,B0CFFZ3GRH,Teeshirt,TST190,Black Tiger,XXLarge,44.99,63.76
8859369000532-USAJersey-S,B0BWC2WTZ9,Teeshirt,JS20,USA,Small,44.99,63.76
8859369000549-USAJersey-M,B0BWCQJMMZ,Teeshirt,JS20,USA,Medium,44.99,63.76
8859369000556-USAJersey-Large,B0B9C88Q47,Teeshirt,JS20,USA,Large,44.99,63.76
8859369000563-USAJersey-X-Large,B0B9GXRQVY,Teeshirt,JS20,USA,XLarge,44.99,63.76
8859369000570-USAJersey-XXL,B0BWCFLVSM,Teeshirt,JS20,USA,XXLarge,44.99,63.76
8859772200512-JS10-White/Black-XXL,B0CLVS839N,Teeshirt,JS10,White/Black,XXLarge,44.99,63.76
8859772238614-TST266-Black-S,B0DQDQS6C3,Teeshirt,TST266,Black,Small,49.99,70.84
8859772238621-TST266-Black-M,B0DQDTCQRT,Teeshirt,TST266,Black,Medium,49.99,70.84
8859772238638-TST266-Black-L,B0DQDQGRWZ,Teeshirt,TST266,Black,Large,49.99,70.84
8859772238645-TST266-Black-XL,B0DQDQRZHF,Teeshirt,TST266,Black,XLarge,49.99,70.84
AS1 - Black/Blue,B07RBFSYN6,Ankle Guard,AS1,Black/Blue,Standard,28.95,41.03
AS1 - Black/Red,B07R99JVXT,Ankle Guard,AS1,Black/Red,Standard,28.95,41.03
AS1 - Green,B07TXN97SD,Ankle Guard,AS1,Green,Standard,28.95,41.03
AS1 - Pink,B07RDWS2GZ,Ankle Guard,AS1,Pink,Standard,28.95,41.03
AS2-Black,B0DP4YDLQT,Ankle Guard,AS2,Black,Standard,28.95,41.03
BAG17-NavyBlue/Yellow/Green,B0D6WDW4PV,,,,,94.99,134.61
BAG2 - Khaki,B0BMVT7JZ2,Equipment Bags,BAG2,Khaki,Standard,94.99,134.61
BAG2-Black,B07PZWLW96,Equipment Bags,BAG2,Black,Standard,94.99,134.61
BAG2-Green,B0B4SXKRWV,,,,,94.99,134.61
BAG4 - Black,B07TYLD26N,Equipment Bags,BAG4,Black,Standard,79.99,113.35
BAG4-Green,B0CSDMX8JK,Equipment Bags,BAG4,Green,Standard,79.99,113.35
BAG9-Black-STD,B0CNRYMZ3N,Equipment Bags,BAG9,Black,Standard,99.99,141.7
BAG9-Blue - STD,B0CNS17GD2,Equipment Bags,BAG9,Blue,Standard,99.99,141.7
BAG9-Green-STD,B0B8C8Y9SZ,Equipment Bags,BAG9,Green,Standard,99.99,141.7
BAG9-Navy Blue-STD,B0CNRXRMZ9,Equipment Bags,BAG9,Navy Blue,Standard,99.99,141.7
BAG9-Purple-STD,B0B2FGX654,Equipment Bags,BAG9,Purple,Standard,99.99,141.7
BGL6-Black-10oz,B097NF6N51,Gloves,BGL6,Black,10 oz,125,177.14
BGL6-Black-12oz,B097TR3QYB,Gloves,BGL6,Black,12 oz,125,177.14
BGL6-Black-14oz,B08WM2PM7Z,Gloves,BGL6,Black,14 oz,125,177.14
BGL6-Black-16oz,B08WM4KX57,Gloves,BGL6,Black,16 oz,125,177.14
BGL6-Black-18oz,B098S2LBZ3,Gloves,BGL6,Black,18 oz,125,177.14
BGL6-Black-8oz,B097NBT92M,Gloves,BGL6,Black,8 oz,125,177.14
BGL6-Blue-10oz,B07RJTQ99V,Gloves,BGL6,Blue,10 oz,125,177.14
BGL6-Blue-12oz,B07TXBY9T5,Gloves,BGL6,Blue,12 oz,125,177.14
BGL6-Blue-14oz,B07TRQ55RH,Gloves,BGL6,Blue,14 oz,125,177.14
BGL6-Blue-16oz,B078V1DD8F,Gloves,BGL6,Blue,16 oz,125,177.14
BGL6-Blue-18oz,B09BFLQX29,Gloves,BGL6,Blue,18 oz,125,177.14
BGL6-Blue-8oz,B099QTP382,Gloves,BGL6,Blue,8 oz,125,177.14
BGL6-Red-10oz,B07TWB6821,Gloves,BGL6,Red,10 oz,125,177.14
BGL6-Red-12oz,B07TXCH88F,Gloves,BGL6,Red,12 oz,125,177.14
BGL6-Red-14oz,B07TS5W9R6,Gloves,BGL6,Red,14 oz,125,177.14
BGL6-Red-16oz,B08WM2XG33,Gloves,BGL6,Red,16 oz,125,177.14
BGL6-Red-18oz,B09NMQYLN5,Gloves,BGL6,Red,18 oz,125,177.14
BGL6-White-10oz,B09NMRHWFJ,Gloves,BGL6,White,10 oz,125,177.14
BGL6-White-12oz,B09NMSFSRQ,Gloves,BGL6,White,12 oz,125,177.14
BGL6-White-14oz,B08WM2NHDP,Gloves,BGL6,White,14 oz,125,177.14
BGL6-White-16oz,B09NMS424P,Gloves,BGL6,White,16 oz,125,177.14
BGL6-White-18oz,B09NMQ9N8B,Gloves,BGL6,White,18 oz,125,177.14
BGL6-White-8oz,B09NMS2STF,Gloves,BGL6,White,8 oz,125,177.14
BGLG1 - Black - 10oz,B07LFBWC8L,Gloves,BGLG1,Black,10 oz,119.99,170.04
BGLG1 - Black - 12oz,B07LFL5CRF,Gloves,BGLG1,Black,12 oz,119.99,170.04
BGLG1 - Black - 14oz,B07LFKHVQ7,Gloves,BGLG1,Black,14 oz,119.99,170.04
BGLG1 - Black - 16oz,B07LFKFV81,Gloves,BGLG1,Black,16 oz,119.99,170.04
BGLG1 - Black - 18oz,B07LFLWVBM,,,,,119.99,170.04
BGLG1 - Black - 6oz,B07LFM32V4,,,,,119.99,170.04
BGLG1 - Black -8oz,B07LFLLBTV,,,,,119.99,170.04
BGLG1 - White - 10oz,B07LFMHYZZ,Gloves,BGLG1,White,10 oz,119.99,170.04
BGLG1 - White - 12oz,B07LFLL8XX,Gloves,BGLG1,White,12 oz,119.99,170.04
BGLG1 - White - 14oz,B07LFKVSGY,Gloves,BGLG1,White,14 oz,119.99,170.04
BGLG1 - White - 16oz,B07LFMG84F,Gloves,BGLG1,White,16 oz,119.99,170.04
BGLG1 - White - 18oz,B07LFKVJDV,,,,,119.99,170.04
BGLG1 - White - 6oz,B07LFMWXZB,,,,,119.99,170.04
BGLG1 - White -8oz,B07LFL1C2V,Gloves,BGLG1,White,8 oz,119.99,170.04
BGLG2 - Black - 10oz,B07LGDR322,Gloves,BGLG2,Black,10 oz,119.99,170.04
BGLG2 - Black - 12oz,B07LGDZ4YW,Gloves,BGLG2,Black,12 oz,119.99,170.04
BGLG2 - Black - 14oz,B07LGHR61T,Gloves,BGLG2,Black,14 oz,119.99,170.04
BGLG2 - Black - 16oz,B07LGD45LC,Gloves,BGLG2,Black,16 oz,119.99,170.04
BGLG2 - Black - 18oz,B07LGCM3K6,,,,,119.99,170.04
BGLG2 - Black - 6oz,B07LGFS9G9,,,,,119.99,170.04
BGLG2 - Black -8oz,B07LGFJ1DP,Gloves,BGLG2,Black,8 oz,119.99,170.04
BGLG2 - White - 10oz,B07LGFWJFC,Gloves,BGLG2,White,10 oz,119.99,170.04
BGLG2 - White - 12oz,B07LGF8KZ8,Gloves,BGLG2,White,12 oz,119.99,170.04
BGLG2 - White - 14oz,B07LGDY4SL,Gloves,BGLG2,White,14 oz,119.99,170.04
BGLG2 - White - 16oz,B07LGDYYYT,Gloves,BGLG2,White,16 oz,119.99,170.04
BGLG2 - White - 6oz,B07LGF8YHQ,,,,,119.99,170.04
BGLG2 - White -8oz,B07LGHC6NW,,,,,119.99,170.04
BGV-GoldenJubilee-10oz,B09F5MCVQK,Gloves,BGV,GoldenJubilee,10 oz,159.95,226.67
BGV-GoldenJubilee-12oz,B09F5XNJ9R,Gloves,BGV,GoldenJubilee,12 oz,159.95,226.67
BGV-GoldenJubilee-14oz,B09F5V7FFM,Gloves,BGV,GoldenJubilee,14 oz,159.95,226.67
BGV-GoldenJubilee-16oz,B09F5JP8BL,Gloves,BGV,GoldenJubilee,16 oz,159.95,226.67
BGV-GoldenJubilee-8oz,B09F5G481J,Gloves,BGV,GoldenJubilee,8 oz,159.95,226.67
BGV-HeartofWarrior-10oz,B09F5JMLVY,Gloves,BGV,HeartofWarrior,10 oz,190,269.25
BGV-HeartofWarrior-12oz,B09F5SCYM9,Gloves,BGV,HeartofWarrior,12 oz,190,269.25
BGV-HeartofWarrior-14oz,B09F5MR6XC,Gloves,BGV,HeartofWarrior,14 oz,190,269.25
BGV-HeartofWarrior-16oz,B09F5FN5X1,Gloves,BGV,HeartofWarrior,16 oz,190,269.25
BGV-HeartofWarrior-8oz,B09F5MJ6LM,Gloves,BGV,HeartofWarrior,8 oz,190,269.25
BGV-Resurrection-10oz,B09FBMQ65X,Gloves,BGV,Resurrection,10 oz,190,269.25
BGV-Resurrection-12oz,B09FB1DLSV,Gloves,BGV,Resurrection,12 oz,190,269.25
BGV-Resurrection-14oz,B09FB1CZL1,Gloves,BGV,Resurrection,14 oz,190,269.25
BGV-Resurrection-16oz,B09FB3QQNR,Gloves,BGV,Resurrection,16 oz,190,269.25
BGV-Resurrection-8oz,B09SKY47NC,Gloves,BGV,Resurrection,8 oz,190,269.25
BGV-Urface-10oz,B09NMP1LFG,Gloves,BGV,URFACE,10 oz,190,269.25
BGV-Urface-12oz,B09NMMKWT1,Gloves,BGV,URFACE,12 oz,189.99,269.23
BGV-Urface-14oz,B09NMMGNP8,Gloves,BGV,URFACE,14 oz,190,269.25
BGV-Urface-16oz,B09NMMTZTH,Gloves,BGV,URFACE,16 oz,190,269.25
BGV-Urface-8oz,B09NMLTPXV,Gloves,BGV,URFACE,8 oz,190,269.25
BGV1 - Black - 8oz,B07G9KZ7DK,Gloves,BGV1,Black,8 oz,120,170.05
BGV1 - Black -16oz,B08TP8LYPH,Gloves,BGV1,Black,16 oz,120,170.05
BGV1 - Black -18oz,B0D1YL3TC6,Gloves,BGV1,Black,18 oz,120,170.05
BGV1 - Black- 12oz,B077RGMZDT,Gloves,BGV1,Black,12 oz,120,170.05
BGV1 - Black- 14oz,B077RHGF5N,Gloves,BGV1,Black,14 oz,120,170.05
BGV1 - Black/White/Pink - 12oz,B07767K2VW,Gloves,BGV1,Black/White/Pink,12 oz,120,170.05
BGV1 - Black/White/Pink - 14oz,B08DNGJXQW,Gloves,BGV1,Black/White/Pink,14 oz,120,170.05
BGV1 - Black/White/Pink - 16oz,B0776758GY,Gloves,BGV1,Black/White/Pink,16 oz,120,170.05
BGV1 - Black/White/Pink - 16oz,B0776758GY,,,,,120,170.05
BGV1 - Black/White/Pink - 8oz,B07NNP8BRS,Gloves,BGV1,Black/White/Pink,8 oz,120,170.05
BGV1 - Black/White/Red - 10oz,B07TYHB9NY,Gloves,BGV1,Black/White/Red,10 oz,120,170.05
BGV1 - Black/White/Red - 16oz,B006K42UPS,Gloves,BGV1,Black/White/Red,16 oz,120,170.05
BGV1 - Black/White/Red - 8oz,B07H8519PY,Gloves,BGV1,Black/White/Red,8 oz,120,170.05
BGV1 - Blue - 12oz,B07HWXBV6H,Gloves,BGV1,Blue,12 oz,120,170.05
BGV1 - Blue - 14oz,B07HX311PX,Gloves,BGV1,Blue,14 oz,120,170.05
BGV1 - Blue/Black/White - 12oz,B07PVPYGS6,Gloves,BGV1,Blue/Black/White,12 oz,120,170.05
BGV1 - Dark Cloud - 10oz,B073Z5VWDV,Gloves,BGV1,Dark Cloud,10 oz,135,191.31
BGV1 - Dark Cloud - 14oz,B073Z5Q95T,Gloves,BGV1,Dark Cloud,14 oz,135,191.31
BGV1 - Dark Cloud - 8oz,B07G9M2GR6,Gloves,BGV1,Dark Cloud,8 oz,135,191.31
BGV1 - Nation Black - 10oz,B07G9MWB3T,Gloves,BGV1,Nation Black,10 oz,135,191.31
BGV1 - Nation Black - 12oz,B07TS5WHBM,Gloves,BGV1,Nation Black,12 oz,135,191.31
BGV1 - Nation Black - 14oz,B07DTDX4L4,Gloves,BGV1,Nation Black,14 oz,135,191.31
BGV1 - Nation Black - 16oz,B07G9N7YKS,Gloves,BGV1,Nation Black,16 oz,135,191.31
BGV1 - Nation Black - 8oz,B07G9RDKGN,,,,,135,191.31
BGV1 - Nation Blue - 10oz,B07G9MP42M,Gloves,BGV1,Nation Blue,10 oz,134.99,191.29
BGV1 - Nation Blue - 14oz,B08C2CSJCB,Gloves,BGV1,Nation Blue,14 oz,135,191.31
BGV1 - Nation Blue - 8oz,B07G9NWKJ1,Gloves,BGV1,Nation Blue,8 oz,135,191.31
